

=== update_days = 60 ===

-- entry=0.1, exit=0.1 --
        mean       vol    sharpe  hit_rate  turnover  Holding Time train_start  train_end test_start   test_end
4   0.076499  0.318935  0.239856  0.531507  0.199730    150.202428  2018-08-29 2020-08-28 2020-08-29 2021-08-28
5   0.988429  0.397408  2.487186  0.542466  0.214354    139.955273  2018-10-28 2020-10-27 2020-10-28 2021-10-27
6   0.570282  0.540478  1.055145  0.547945  0.275184    109.018017  2018-12-27 2020-12-26 2020-12-27 2021-12-26
7   0.037440  0.250887  0.149232  0.515068  0.204447    146.737571  2019-02-25 2021-02-24 2021-02-25 2022-02-24
8   0.205996  0.266933  0.771715  0.495890  0.188297    159.322592  2019-04-26 2021-04-25 2021-04-26 2022-04-25
9   0.354000  0.288256  1.228077  0.536986  0.189047    158.690829  2019-06-25 2021-06-24 2021-06-25 2022-06-24
10  0.426334  0.381660  1.117050  0.512329  0.175508    170.932826  2019-08-24 2021-08-23 2021-08-24 2022-08-23
11  0.073088  0.193272  0.378162  0.459596  0.158609    189.143911  2019-10-23 2021-10-22 2021-10-23 2022-10-22
12  0.364911  0.157243  2.320674  0.540404  0.163831    183.115965  2019-12-22 2021-12-21 2021-12-22 2022-12-21
13  0.190183  0.171209  1.110822  0.525253  0.167879    178.699910  2020-02-20 2022-02-19 2022-02-20 2023-02-19
14  0.681645  0.257579  2.646354  0.505051  0.177004    169.487295  2020-04-20 2022-04-19 2022-04-20 2023-04-19
15  0.682503  0.239854  2.845495  0.530303  0.173029    173.381387  2020-06-19 2022-06-18 2022-06-19 2023-06-18
16  0.668367  0.290020  2.304556  0.500000  0.185592    161.645223  2020-08-18 2022-08-17 2022-08-18 2023-08-17
17  0.119133  0.142036  0.838753  0.505051  0.170515    175.937151  2020-10-17 2022-10-16 2022-10-17 2023-10-16
18 -0.081683  0.202396 -0.403579  0.526027  0.171409    175.020160  2020-12-16 2022-12-15 2022-12-16 2023-12-15
19 -0.176439  0.198434 -0.889159  0.473973  0.171636    174.788626  2021-02-14 2023-02-13 2023-02-14 2024-02-13
20  0.177436  0.181981  0.975028  0.519126  0.157038    191.037076  2021-04-15 2023-04-14 2023-04-15 2024-04-14
